index,area,city,region
57,ДЕСНЯНСЬКЕ,КИЄВІ,None
58,ДЕСНЯНСЬКЕ,КИЄВІ,None
59,СОЛОМ’ЯНСЬКЕ,КИЄВІ,None
60,ОВРУЦЬКЕ ,КОРОСТЕНСЬКОГО,ЖИТОМИРСЬКІЙ
61,ОВРУЦЬКЕ ,КОРОСТЕНСЬКОГО,ЖИТОМИРСЬКІЙ
62,БРОДІВСЬКЕ ,ЗОЛОЧІВСЬКОГО,ЛЬВІВСЬКІЙ
63,ОВРУЦЬКЕ ,КОРОСТЕНСЬКОГО,ЖИТОМИРСЬКІЙ
64,ДРОГОБИЦЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
65,СТАРОСАМБІРСЬКЕ ,САМБІРСЬКОГО,ЛЬВІВСЬКІЙ
66,ВАСИЛЬКІВСЬКЕ ,СИНЕЛЬНИКІВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
67,САМБІРСЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
68,БРОДІВСЬКЕ ,ЗОЛОЧІВСЬКОГО,ЛЬВІВСЬКІЙ
69,ШЕВЧЕНКІВСЬКЕ,КИЄВІ,None
70,КРЕМЕНЕЦЬКИЙ ,ТЕРНОПІЛЬСЬКІЙ,ТЕРНОПІЛЬСЬКІЙ
71,ГАЛИЦЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
72,ГАЛИЦЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
73,ДНІПРОВСЬКЕ ,КАМ`ЯНСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
74,ВІЛЬНЯНСЬКЕ ,ПОЛОГІВСЬКОГО,ЗАПОРІЗЬКІЙ
75,ПОДІЛЬСЬКИЙ ,ОДЕСЬКІЙ,ОДЕСЬКІЙ
76,БІЛОЦЕРКІВСЬКИЙ ,КИЇВСЬКІЙ,КИЇВСЬКІЙ
77,ГАЛИЦЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
78,МИКОЛАЇВСЬКЕ ,ПУСТОМИТІВСЬКОГО,ЛЬВІВСЬКІЙ
79,ОБУХІВСЬКИЙ ,КИЇВСЬКІЙ,КИЇВСЬКІЙ
80,СЛОБІДСЬКИЙ ,ХАРКІВСЬКІЙ,ХАРКІВСЬКІЙ
81,ОВРУЦЬКЕ ,КОРОСТЕНСЬКОГО,ЖИТОМИРСЬКІЙ
82,РОЗДІЛЬНЯНСЬКИЙ ,ОДЕСЬКІЙ,ОДЕСЬКІЙ
83,ЗВЕНИГОРОДСЬКИЙ ,ЧЕРКАСЬКІЙ,ЧЕРКАСЬКІЙ
84,КОРОСТЕНСЬКИЙ ,ЖИТОМИРСЬКІЙ,ЖИТОМИРСЬКІЙ
85,ЛЮБОМЛЬСЬКИЙ ,ВОЛИНСЬКІЙ,ВОЛИНСЬКІЙ
86,ЛЮБОМЛЬСЬКИЙ ,ВОЛИНСЬКІЙ,ВОЛИНСЬКІЙ
87,ЛИСИЧАНСЬКИЙ ,ЛУГАНСЬКІЙ,ЛУГАНСЬКІЙ
88,МАРКІВСЬКИЙ ,ЛУГАНСЬКІЙ,ЛУГАНСЬКІЙ
89,СТАРОБІЛЬСЬКИЙ ,ЛУГАНСЬКІЙ,ЛУГАНСЬКІЙ
90,None,КРАСНОЛУЦЬКИЙ,ЛУГАНСЬКІЙ
91,СТАНИЧНО-ЛУГАНСЬКИЙ ,ЛУГАНСЬКІЙ,ЛУГАНСЬКІЙ
92,СТАРОБІЛЬСЬКИЙ ,ЛУГАНСЬКІЙ,ЛУГАНСЬКІЙ
93,СЛОВ’ЯНОСЕРБСЬКИЙ,СЛОВ’ЯНОСЕРБСЬКИЙ,ЛУГАНСЬКІЙ
94,None,КІРОВСЬКИЙ,ЛУГАНСЬКІЙ
95,ЖОВТНЕВИЙ,ЛУГАНСЬКОГО,ЛУГАНСЬКІЙ
96,ЖОВТНЕВИЙ,ЛУГАНСЬКОГО,ЛУГАНСЬКІЙ
97,ДАРНИЦЬКЕ,КИЄВІ,None
98,КРАСНОДОНСЬКИЙ,КРАСНОДОНСЬКИЙ,ЛУГАНСЬКІЙ
99,ЖОВТНЕВИЙ,ЛУГАНСЬКОГО,ЛУГАНСЬКІЙ
100,ЛЕНІНСЬКИЙ,ЛУГАНСЬКОГО,ЛУГАНСЬКІЙ
101,ЛУТУГИНСЬКИЙ,ЛУТУГИНСЬКИЙ,ЛУГАНСЬКІЙ
102,ДНІПРОВСЬКЕ ,КАМ`ЯНСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
103,СИНЕЛЬНИКІВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
104,ПАВЛОГРАДСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
105,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
106,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
107,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
108,МАНГУШСЬКЕ ,ЦЕНТРАЛЬНОГО,ДОНЕЦЬКІЙ
109,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
110,МАНГУШСЬКЕ ,ЦЕНТРАЛЬНОГО,ДОНЕЦЬКІЙ
111,КОСТЯНТИНІВСЬКЕ ,БАХМУТСЬКОГО,ДОНЕЦЬКІЙ
112,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
113,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
114,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
115,БАХМУТСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
116,ЛІВОБЕРЕЖНЕ ,ЦЕНТРАЛЬНОГО,ДОНЕЦЬКІЙ
117,ДРУЖКІВСЬКЕ ,КРАМАТОРСЬКОГО ,ДОНЕЦЬКІЙ
118,ПОКРОВСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
119,БАХМУТСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
120,ПОКРОВСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
121,ТОРЕЦЬКЕ ,БАХМУТСЬКОГО,ДОНЕЦЬКІЙ
122,КАЛЬМІУСЬКЕ ,ЦЕНТРАЛЬНОГО,ДОНЕЦЬКІЙ
123,БАХМУТСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
124,ДРУЖКІВСЬКЕ ,КРАМАТОРСЬКОГО ,ДОНЕЦЬКІЙ
125,КАЛЬМІУСЬКЕ ,ЦЕНТРАЛЬНОГО,ДОНЕЦЬКІЙ
126,БАХМУТСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
127,БАХМУТСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
128,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
129,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
130,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
131,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
132,ПОКРОВСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
133,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
134,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
135,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
136,ДРУЖКІВСЬКЕ ,КРАМАТОРСЬКОГО ,ДОНЕЦЬКІЙ
137,ДОБРОПІЛЬСЬКЕ ,ПОКРОВСЬКОГО,ДОНЕЦЬКІЙ
138,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
139,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
140,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
141,АВДІЇВСЬКЕ ,ПОКРОВСЬКОГО,ДОНЕЦЬКІЙ
142,ДОБРОПІЛЬСЬКЕ ,ПОКРОВСЬКОГО,ДОНЕЦЬКІЙ
143,ДОБРОПІЛЬСЬКЕ ,ПОКРОВСЬКОГО,ДОНЕЦЬКІЙ
144,МАР’ЇНСЬКЕ ,ВОЛНОВАСЬКОГО,ДОНЕЦЬКІЙ
145,ЛИМАНСЬКЕ ,СЛОВ’ЯНСЬКОГО,ДОНЕЦЬКІЙ
146,МЕЛІТОПОЛЬСЬКИЙ ,ЗАПОРІЗЬКІЙ,ЗАПОРІЗЬКІЙ
147,КИЄВО-СВЯТОШИНСЬКИЙ ,КИЇВСЬКІЙ,КИЇВСЬКІЙ
148,СВЯТОШИНСЬКЕ,КИЄВІ,None
149,ПЕЧЕРСЬКЕ,КИЄВІ,None
150,ДАРНИЦЬКЕ,КИЄВІ,None
151,ШЕВЧЕНКІВСЬКЕ,КИЄВІ,None
152,СОЛОМ’ЯНСЬКЕ,КИЄВІ,None
153,ХМЕЛЬНИЦЬКИЙ ,ХМЕЛЬНИЦЬКІЙ,ХМЕЛЬНИЦЬКІЙ
154,ДНІПРОВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
155,ШЕВЧЕНКІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
156,ПОКРОВСЬКЕ ,КРИВОРІЗЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
157,ДНІПРОВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
158,ШЕПЕТІВСЬКИЙ ,ХМЕЛЬНИЦЬКІЙ,ХМЕЛЬНИЦЬКІЙ
159,ШЕВЧЕНКІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
160,ДНІПРОВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
161,None,ЛУГАНСЬКІЙ,None
162,ЗОЛОТОНІСЬКИЙ ,ЧЕРКАСЬКІЙ,ЧЕРКАСЬКІЙ
163,БЕРЕЗІВСЬКЕ ,ЛИМАНСЬКОГО,ОДЕСЬКІЙ
164,ВОЗНЕСЕНІВСЬКЕ ,ДНІПРОВСЬКОГО,ЗАПОРІЗЬКІЙ
165,ДНІПРОВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
166,ДЕСНЯНСЬКЕ,КИЄВІ,None
167,ШЕВЧЕНКІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
168,ДЕСНЯНСЬКЕ,КИЄВІ,None
169,АМУР-НИЖНЬОДНІПРОВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
170,ДЕРГАЧІВСЬКИЙ ,ХАРКІВСЬКІЙ,ХАРКІВСЬКІЙ
171,РОЗДІЛЬНЯНСЬКИЙ ,ОДЕСЬКІЙ,ОДЕСЬКІЙ
172,None,КІРОВОГРАДСЬКІЙ,None
173,ЦЕНТРАЛЬНИЙ ,МИКОЛАЇВСЬКІЙ,МИКОЛАЇВСЬКІЙ
174,ШЕВЧЕНКІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
175,КОРАБЕЛЬНИЙ ,МИКОЛАЇВСЬКІЙ,МИКОЛАЇВСЬКІЙ
176,ШЕВЧЕНКІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
177,None,КІРОВОГРАДСЬКІЙ,None
178,ЦЕНТРАЛЬНИЙ ,МИКОЛАЇВСЬКІЙ,МИКОЛАЇВСЬКІЙ
179,ЦЕНТРАЛЬНИЙ ,МИКОЛАЇВСЬКІЙ,МИКОЛАЇВСЬКІЙ
180,ЦЕНТРАЛЬНИЙ ,МИКОЛАЇВСЬКІЙ,МИКОЛАЇВСЬКІЙ
181,МУКАЧІВСЬКИЙ ,ЗАКАРПАТСЬКІЙ,ЗАКАРПАТСЬКІЙ
182,КОМУНАРСЬКЕ ,ДНІПРОВСЬКОГО,ЗАПОРІЗЬКІЙ
183,КОМУНАРСЬКЕ ,ДНІПРОВСЬКОГО,ЗАПОРІЗЬКІЙ
184,КОМУНАРСЬКЕ ,ДНІПРОВСЬКОГО,ЗАПОРІЗЬКІЙ
185,КОМУНАРСЬКЕ ,ДНІПРОВСЬКОГО,ЗАПОРІЗЬКІЙ
186,КОМУНАРСЬКЕ ,ДНІПРОВСЬКОГО,ЗАПОРІЗЬКІЙ
187,ГОЛОСІЇВСЬКЕ,КИЄВІ,None
188,ПОДІЛЬСЬКЕ,КИЄВІ,None
189,ГОЛОСІЇВСЬКЕ,КИЄВІ,None
190,СОЛОМ’ЯНСЬКЕ,КИЄВІ,None
191,НІЖИНСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
192,ЧЕРНІГІВСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
193,ЧЕРНІГІВСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
194,ЧЕРНІГІВСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
195,ЧЕРНІГІВСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
196,ЧЕРНІГІВСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
197,ДЕСНЯНСЬКЕ,КИЄВІ,None
198,ЛЮБОМЛЬСЬКИЙ ,ВОЛИНСЬКІЙ,ВОЛИНСЬКІЙ
199,ЧЕРНІГІВСЬКИЙ ,ЧЕРНІГІВСЬКІЙ,ЧЕРНІГІВСЬКІЙ
200,ДЕСНЯНСЬКЕ,КИЄВІ,None
201,УЖГОРОДСЬКЕ РАЙОННЕ ,УЖГОРОДСЬКОГО,ЗАКАРПАТСЬКІЙ
202,ДАРНИЦЬКЕ,КИЄВІ,None
203,None,КІРОВОГРАДСЬКІЙ,None
204,МАНЕВИЦЬКИЙ ,ВОЛИНСЬКІЙ,ВОЛИНСЬКІЙ
205,ПОЛТАВСЬКИЙ ,ПОЛТАВСЬКІЙ,ПОЛТАВСЬКІЙ
206,ПОЛТАВСЬКИЙ ,ПОЛТАВСЬКІЙ,ПОЛТАВСЬКІЙ
207,ЖИТОМИРСЬКЕ РАЙОННЕ ,ЖИТОМИРСЬКОГО,ЖИТОМИРСЬКІЙ
208,ДАРНИЦЬКЕ,КИЄВІ,None
209,УЖГОРОДСЬКЕ РАЙОННЕ ,УЖГОРОДСЬКОГО,ЗАКАРПАТСЬКІЙ
210,ПОЛТАВСЬКИЙ ,ПОЛТАВСЬКІЙ,ПОЛТАВСЬКІЙ
211,УЖГОРОДСЬКЕ РАЙОННЕ ,УЖГОРОДСЬКОГО,ЗАКАРПАТСЬКІЙ
212,УЖГОРОДСЬКЕ РАЙОННЕ ,УЖГОРОДСЬКОГО,ЗАКАРПАТСЬКІЙ
213,УЖГОРОДСЬКЕ РАЙОННЕ ,УЖГОРОДСЬКОГО,ЗАКАРПАТСЬКІЙ
214,ЗОЛОЧІВСЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
215,СТРИЙСЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
216,БРОДІВСЬКЕ ,ЗОЛОЧІВСЬКОГО,ЛЬВІВСЬКІЙ
217,ЗОЛОЧІВСЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
218,ДАРНИЦЬКЕ,КИЄВІ,None
219,ПОКРОВСЬКЕ ,СИНЕЛЬНИКІВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
220,ЗОЛОЧІВСЬКИЙ ,ЛЬВІВСЬКІЙ,ЛЬВІВСЬКІЙ
221,ТЕРНОПІЛЬСЬКИЙ ,ТЕРНОПІЛЬСЬКІЙ,ТЕРНОПІЛЬСЬКІЙ
222,ЖОВКІВСЬКЕ ,КАМ’ЯНКА-БУЗЬКОГО,ЛЬВІВСЬКІЙ
223,ДАРНИЦЬКЕ,КИЄВІ,None
224,ДАРНИЦЬКЕ,КИЄВІ,None
225,АМУР-НИЖНЬОДНІПРОВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
226,ДЕСНЯНСЬКЕ,КИЄВІ,None
227,КІВЕРЦІВСЬКИЙ ,ВОЛИНСЬКІЙ,ВОЛИНСЬКІЙ
228,ДАРНИЦЬКЕ,КИЄВІ,None
229,ДЕСНЯНСЬКЕ,КИЄВІ,None
230,ВІННИЦЬКИЙ ,ВІННИЦЬКІЙ,ВІННИЦЬКІЙ
231,None,КІРОВОГРАДСЬКІЙ,None
232,ОЧАКІВСЬКИЙ ,МИКОЛАЇВСЬКІЙ,МИКОЛАЇВСЬКІЙ
233,КОРОСТЕНСЬКИЙ ,ЖИТОМИРСЬКІЙ,ЖИТОМИРСЬКІЙ
234,КАМ’ЯНЕЦЬ-ПОДІЛЬСЬКИЙ ,ХМЕЛЬНИЦЬКІЙ,ХМЕЛЬНИЦЬКІЙ
235,ДАРНИЦЬКЕ,КИЄВІ,None
236,ПЕЧЕРСЬКЕ,КИЄВІ,None
237,ПІВДЕННЕ ,КАМ`ЯНСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
238,ДЕСНЯНСЬКЕ,КИЄВІ,None
239,ГОЛОСІЇВСЬКЕ,КИЄВІ,None
